id,date,employee_id,position,start,end,clock_in,clock_out,tips,total_tips
31,2022-07-06,1,BARTENDER,"2022-07-06 10:00:00","2022-07-06 16:00:00","2022-07-06 10:02:00","2022-07-06 16:30:00",NULL,2000
32,2022-07-06,4,BARTENDER,"2022-07-06 16:00:00","2022-07-06 22:00:00",NULL,NULL,NULL,2000
33,2022-07-06,7,BARBACK,"2022-07-06 10:00:00","2022-07-06 22:00:00",NULL,NULL,NULL,2000
34,2022-07-06,3,MANAGER,"2022-07-06 10:00:00","2022-07-06 22:00:00",NULL,NULL,NULL,2000
35,2022-07-07,5,BARTENDER,"2022-07-07 10:00:00","2022-07-07 16:00:00",NULL,NULL,NULL,2200
36,2022-07-07,10,BARTENDER,"2022-07-07 16:00:00","2022-07-07 22:00:00",NULL,NULL,NULL,2200
37,2022-07-07,8,BARBACK,"2022-07-07 10:00:00","2022-07-07 22:00:00",NULL,NULL,NULL,2200
38,2022-07-07,2,MANAGER,"2022-07-07 10:00:00","2022-07-07 22:00:00",NULL,NULL,NULL,2200
39,2022-07-08,6,BARTENDER,"2022-07-08 10:00:00","2022-07-08 16:00:00",NULL,NULL,NULL,2800
40,2022-07-08,1,BARTENDER,"2022-07-08 16:00:00","2022-07-08 22:00:00","2022-07-08 15:57:00","2022-07-08 22:14:00",NULL,2800
41,2022-07-08,4,BARTENDER,"2022-07-08 16:00:00","2022-07-08 22:00:00",NULL,NULL,NULL,2800
42,2022-07-08,9,BARBACK,"2022-07-08 10:00:00","2022-07-08 22:00:00",NULL,NULL,NULL,2800
43,2022-07-08,3,MANAGER,"2022-07-08 10:00:00","2022-07-08 22:00:00",NULL,NULL,NULL,2800
44,2022-07-09,6,BARTENDER,"2022-07-09 10:00:00","2022-07-09 16:00:00",NULL,NULL,NULL,3100
45,2022-07-09,4,BARTENDER,"2022-07-09 16:00:00","2022-07-09 22:00:00",NULL,NULL,NULL,3100
46,2022-07-09,10,BARTENDER,"2022-07-09 16:00:00","2022-07-09 22:00:00",NULL,NULL,NULL,3100
47,2022-07-09,7,BARBACK,"2022-07-09 10:00:00","2022-07-09 22:00:00",NULL,NULL,NULL,3100
48,2022-07-09,2,MANAGER,"2022-07-09 10:00:00","2022-07-09 22:00:00",NULL,NULL,NULL,3100
49,2022-07-10,1,BARTENDER,"2022-07-10 10:00:00","2022-07-10 16:00:00","2022-07-10 09:55:00","2022-07-10 16:10:00",NULL,2400
50,2022-07-10,10,BARTENDER,"2022-07-10 16:00:00","2022-07-10 22:00:00",NULL,NULL,NULL,2400
51,2022-07-10,9,BARBACK,"2022-07-10 10:00:00","2022-07-10 22:00:00",NULL,NULL,NULL,2400
52,2022-07-10,3,MANAGER,"2022-07-10 10:00:00","2022-07-10 22:00:00",NULL,NULL,NULL,2400
53,2022-07-11,4,BARTENDER,"2022-07-11 10:00:00","2022-07-11 16:00:00",NULL,NULL,NULL,1800
54,2022-07-11,5,BARTENDER,"2022-07-11 16:00:00","2022-07-11 22:00:00",NULL,NULL,NULL,1800
55,2022-07-11,8,BARBACK,"2022-07-11 10:00:00","2022-07-11 22:00:00",NULL,NULL,NULL,1800
56,2022-07-11,2,MANAGER,"2022-07-11 10:00:00","2022-07-11 22:00:00",NULL,NULL,NULL,1800
57,2022-07-12,1,BARTENDER,"2022-07-12 10:00:00","2022-07-12 16:00:00","2022-07-12 10:01:00","2022-07-12 16:04:00",NULL,1900
58,2022-07-12,6,BARTENDER,"2022-07-12 16:00:00","2022-07-12 22:00:00",NULL,NULL,NULL,1900
59,2022-07-12,8,BARBACK,"2022-07-12 10:00:00","2022-07-12 22:00:00",NULL,NULL,NULL,1900
60,2022-07-12,3,MANAGER,"2022-07-12 10:00:00","2022-07-12 22:00:00",NULL,NULL,NULL,1900
62,2022-08-08,1,BARTENDER,"2022-08-08 14:48:19","2022-08-08 14:48:19","2022-08-08 14:48:19","2022-08-08 15:07:03",NULL,NULL
63,2022-08-08,1,BARTENDER,"2022-08-08 15:14:15","2022-08-08 15:14:15","2022-08-08 15:14:15","2022-08-08 15:20:58",NULL,NULL
64,2022-08-08,1,BARTENDER,"2022-08-08 15:22:14","2022-08-08 15:22:14","2022-08-08 15:22:14","2022-08-08 15:23:43",NULL,NULL
65,2022-08-08,1,BARTENDER,"2022-08-08 15:23:50","2022-08-08 15:23:50","2022-08-08 15:23:50","2022-08-08 15:24:18",NULL,NULL
66,2022-08-08,1,BARTENDER,"2022-08-08 15:24:20","2022-08-08 15:24:20","2022-08-08 15:24:20","2022-08-08 15:26:36",NULL,NULL
67,2022-08-08,1,BARTENDER,"2022-08-08 15:26:37","2022-08-08 15:26:37","2022-08-08 15:26:37","2022-08-08 15:29:31",NULL,NULL
68,2022-08-08,1,BARTENDER,"2022-08-08 15:29:32","2022-08-08 15:29:32","2022-08-08 15:29:32","2022-08-08 15:29:35",NULL,NULL
